iter	Passed	Remaining
1389	42284	36808
1390	42315	36778
1391	42343	36746
1392	42367	36710
1393	42392	36675
1394	42419	36641
1395	42445	36608
1396	42470	36572
1397	42499	36540
1398	42528	36509
1399	42555	36475
1400	42580	36440
1401	42606	36406
1402	42631	36371
1403	42654	36335
1404	42687	36306
1405	42714	36273
1406	42739	36238
1407	42766	36205
1408	42790	36170
1409	42815	36135
1410	42839	36099
1411	42873	36071
1412	42900	36038
1413	42926	36005
1414	42951	35970
1415	42977	35935
1416	43001	35900
1417	43029	35867
1418	43056	35835
1419	43089	35806
1420	43116	35773
1421	43140	35738
1422	43164	35702
1423	43191	35668
1424	43216	35634
1425	43240	35598
1426	43265	35564
1427	43296	35534
1428	43322	35500
1429	43346	35465
1430	43371	35430
1431	43397	35396
1432	43424	35363
1433	43446	35327
1434	43472	35293
1435	43503	35263
1436	43530	35230
1437	43556	35196
1438	43583	35163
1439	43606	35127
1440	43634	35095
1441	43663	35063
1442	43693	35033
1443	43718	34998
1444	43744	34965
1445	43768	34930
1446	43795	34896
1447	43821	34863
1448	43848	34830
1449	43880	34801
1450	43904	34766
1451	43929	34732
1452	43955	34698
1453	43979	34663
1454	44003	34627
1455	44027	34593
1456	44060	34565
1457	44087	34532
1458	44118	34502
1459	44144	34468
1460	44175	34439
1461	44198	34403
1462	44225	34371
1463	44261	34345
1464	44289	34312
1465	44315	34279
1466	44340	34245
1467	44367	34212
1468	44393	34179
1469	44418	34144
1470	44448	34114
1471	44475	34081
1472	44501	34048
1473	44531	34017
1474	44559	33986
1475	44590	33956
1476	44620	33925
1477	44654	33898
1478	44684	33868
1479	44716	33839
1480	44741	33805
1481	44767	33771
1482	44795	33740
1483	44822	33707
1484	44855	33679
1485	44883	33647
1486	44910	33614
1487	44937	33581
1488	44963	33548
1489	44991	33517
1490	45020	33486
1491	45056	33460
1492	45084	33428
1493	45110	33395
1494	45136	33361
1495	45163	33329
1496	45188	33295
1497	45220	33266
1498	45255	33239
1499	45280	33206
1500	45314	33178
1501	45341	33146
1502	45366	33111
1503	45391	33078
1504	45418	33045
1505	45451	33016
1506	45476	32983
1507	45503	32950
1508	45528	32917
1509	45553	32883
1510	45580	32850
1511	45604	32815
1512	45639	32789
1513	45665	32756
1514	45693	32724
1515	45718	32690
1516	45744	32657
1517	45769	32623
1518	45797	32591
1519	45828	32562
1520	45854	32529
1521	45880	32495
1522	45906	32463
1523	45931	32429
1524	45956	32395
1525	45981	32361
1526	46016	32334
1527	46043	32303
1528	46069	32269
1529	46096	32237
1530	46120	32202
1531	46143	32167
1532	46167	32133
1533	46200	32105
1534	46231	32075
1535	46254	32041
1536	46280	32007
1537	46304	31973
1538	46328	31939
1539	46353	31905
1540	46384	31876
1541	46412	31844
1542	46436	31810
1543	46461	31776
1544	46486	31742
1545	46511	31709
1546	46537	31676
1547	46567	31646
1548	46595	31615
1549	46623	31583
1550	46647	31549
1551	46675	31517
1552	46702	31485
1553	46730	31454
1554	46762	31425
1555	46788	31392
1556	46815	31360
1557	46838	31325
1558	46863	31292
1559	46889	31259
1560	46916	31227
1561	46949	31199
1562	46977	31167
1563	47000	31133
1564	47025	31100
1565	47051	31067
1566	47075	31033
1567	47099	30999
1568	47134	30972
1569	47160	30939
1570	47186	30906
1571	47209	30872
1572	47235	30839
1573	47258	30805
1574	47283	30771
1575	47314	30742
1576	47344	30712
1577	47369	30679
1578	47394	30645
1579	47419	30612
1580	47448	30581
1581	47472	30547
1582	47503	30518
1583	47529	30486
1584	47554	30453
1585	47581	30420
1586	47604	30386
1587	47630	30353
1588	47656	30321
1589	47690	30293
1590	47715	30261
1591	47744	30229
1592	47768	30196
1593	47791	30161
1594	47816	30128
1595	47844	30097
1596	47876	30068
1597	47902	30036
1598	47927	30003
1599	47953	29970
1600	47976	29936
1601	48027	29919
1602	48058	29890
1603	48085	29858
1604	48111	29825
1605	48134	29792
1606	48162	29760
1607	48187	29727
1608	48211	29694
1609	48242	29664
1610	48268	29632
1611	48294	29599
1612	48318	29566
1613	48342	29532
1614	48368	29500
1615	48390	29465
1616	48420	29435
1617	48445	29402
1618	48471	29370
1619	48495	29336
1620	48519	29303
1621	48545	29270
1622	48569	29237
1623	48599	29207
1624	48630	29178
1625	48655	29145
1626	48679	29112
1627	48709	29081
1628	48734	29049
1629	48760	29017
1630	48786	28984
1631	48816	28955
1632	48842	28922
1633	48867	28890
1634	48892	28857
1635	48916	28823
1636	48941	28791
1637	48967	28758
1638	49002	28731
1639	49026	28698
1640	49051	28665
1641	49076	28633
1642	49102	28600
1643	49128	28568
1644	49153	28536
1645	49187	28508
1646	49215	28477
1647	49239	28444
1648	49264	28411
1649	49290	28379
1650	49317	28347
1651	49340	28314
1652	49373	28285
1653	49399	28253
1654	49424	28221
1655	49449	28188
1656	49473	28155
1657	49498	28122
1658	49522	28089
